ticker,asset_name,strategy,regime_type,regime,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,n_observations
GLD,Gold ETF,ARIMA Long/Cash,Tendencia,Lateral,-0.0869,-0.2287,0.1754,-1.3037,-0.17,88
GLD,Gold ETF,ARIMA Long/Cash,Volatilidad,Baja volatilidad,0.3904,0.4646,0.1084,4.2867,-0.0808,217
GLD,Gold ETF,ARIMA Long/Cash,Volatilidad,Volatilidad media,0.6987,0.3589,0.1532,2.3423,-0.0945,434
GLD,Gold ETF,ARIMA Long/Cash,Volatilidad,Alta volatilidad,-0.111,-0.1274,0.3065,-0.4155,-0.2509,217
EURUSD=X,EUR/USD,Buy and Hold,Tendencia,Alcista,0.0875,0.0436,0.0722,0.6036,-0.043,511
EURUSD=X,EUR/USD,Buy and Hold,Tendencia,Bajista,-0.0568,-0.0827,0.0748,-1.1052,-0.1007,176
EURUSD=X,EUR/USD,Buy and Hold,Tendencia,Lateral,0.0491,0.0605,0.0697,0.8678,-0.0404,212
EURUSD=X,EUR/USD,Buy and Hold,Volatilidad,Baja volatilidad,0.031,0.0359,0.052,0.6908,-0.0291,225
EURUSD=X,EUR/USD,Buy and Hold,Volatilidad,Volatilidad media,-0.1402,-0.0838,0.0683,-1.2257,-0.1601,449
EURUSD=X,EUR/USD,Buy and Hold,Volatilidad,Alta volatilidad,0.2139,0.2511,0.0926,2.7119,-0.0385,225
EURUSD=X,EUR/USD,MA Long/Cash optimized,Tendencia,Alcista,0.0311,0.0157,0.0699,0.2245,-0.0487,511
EURUSD=X,EUR/USD,MA Long/Cash optimized,Tendencia,Bajista,-0.0193,-0.0284,0.014,-2.0269,-0.0193,176
EURUSD=X,EUR/USD,MA Long/Cash optimized,Tendencia,Lateral,0.0171,0.021,0.0473,0.4443,-0.0331,212
EURUSD=X,EUR/USD,MA Long/Cash optimized,Volatilidad,Baja volatilidad,0.0034,0.0039,0.0397,0.0984,-0.0352,225
EURUSD=X,EUR/USD,MA Long/Cash optimized,Volatilidad,Volatilidad media,-0.0939,-0.0555,0.0476,-1.1652,-0.1043,449
EURUSD=X,EUR/USD,MA Long/Cash optimized,Volatilidad,Alta volatilidad,0.1312,0.1531,0.0848,1.8056,-0.0385,225
EURUSD=X,EUR/USD,ARIMA Long/Cash,Tendencia,Alcista,0.0766,0.0383,0.0646,0.5925,-0.0373,511
EURUSD=X,EUR/USD,ARIMA Long/Cash,Tendencia,Bajista,-0.0493,-0.072,0.048,-1.5011,-0.0664,176
EURUSD=X,EUR/USD,ARIMA Long/Cash,Tendencia,Lateral,-0.0254,-0.031,0.0566,-0.5479,-0.0453,212
EURUSD=X,EUR/USD,ARIMA Long/Cash,Volatilidad,Baja volatilidad,0.013,0.015,0.0491,0.3053,-0.0349,225
EURUSD=X,EUR/USD,ARIMA Long/Cash,Volatilidad,Volatilidad media,-0.1275,-0.0759,0.0567,-1.3388,-0.1405,449
EURUSD=X,EUR/USD,ARIMA Long/Cash,Volatilidad,Alta volatilidad,0.1286,0.1501,0.0733,2.0462,-0.0362,225
